URL,Impressions,Clicks,CTR,Position,Classification,TopQuery,NewTitle,NewMeta,Notes,CTA
https://www.fsidigital.ca/usa/new-york,7495,2,0.03%,37.61,B,"new york small business grants","New York Small Business Grants & Funding — Apply Now","Find current New York small business grants, city & state programs, and a simple checklist to apply. Free guide & eligibility tips from FSI Digital.","Add quick answer at top; program table; link to NY state pages","Get our NY grants checklist (PDF)"
https://www.fsidigital.ca/canada/small-business-grants,6487,0,0%,63.57,C,"small business grants canada","Canada Small Business Grants — Complete List & How to Apply","Comprehensive list of Canada small business grants, eligibility, and 7 application tips. Updated for 2026 — free checklist inside.","Expand to 1,200–1,800 words; add categorized lists; ensure canonical","Download Canada Grants Checklist — free"
https://www.fsidigital.ca/blog/nih-sbir-biotech-grants,6251,3,0.05%,8.74,A,"nih sbir grant","NIH SBIR Biotech Grants 2026 — Eligibility & How to Apply","Step‑by‑step guidance for NIH SBIR biotech Phase I & II applications, timelines, and winning tips. Examples included.","Add short answer & timeline at top; mistakes section; link to SBIR hub","Download NIH SBIR Checklist / $79 proposal review"
https://www.fsidigital.ca/blog/nsf-sbir-grants-technology-startups,5007,2,0.04%,9.46,A,"nsf sbir grants","NSF SBIR Grants for Tech Startups — Phase I & II Guide (2026)","How to qualify for NSF SBIR grants, structuring proposals, and timelines. Includes sample budgets and proposal checklist.","Add quick answer; sample budget download; case study; internal SBIR links","1‑page proposal review — $79"
https://www.fsidigital.ca/blog/canada-federal-grants,3993,3,0.08%,38.5,B,"government grants canada","Canada Federal Grants & Funding Programs — 2026 Guide","Overview of federal funding & grants in Canada with eligibility, top programs, and application tips for startups and SMEs.","Add comparison table (IRAP, CanExport, SIF); expand content; CTA quiz","Which federal program suits you? Take the quick quiz"
https://www.fsidigital.ca/usa/technology-startup-grants,2739,4,0.15%,15.64,A,"technology startup grants","Technology Startup Grants in the USA — Programs & How to Apply","Directory of US tech startup grants, SBIR/STA, state tech funds and how to structure your application.","Add hero quick answer: Top 10 grants; stage-based H2s; link to state pages","Get the Tech Grants Checklist — free"
https://www.fsidigital.ca/blog/alberta-small-business-grants-guide,2457,4,0.16%,39.11,B,"alberta small business grants","Alberta Small Business Grants (2026) — Complete Guide & Deadlines","The latest Alberta small business grants, application deadlines and eligibility explained in plain English.","Expand province-specific sections; add deadlines table; local examples","Download Alberta grants checklist"
https://www.fsidigital.ca/canada/women-business-grants,2432,9,0.37%,46.42,B,"women business grants canada","Canada Grants for Women Entrepreneurs — Funding & Programs","Grants, loans and supports for women entrepreneurs in Canada — provincial & federal options, application tips and resources.","Add quick answer; success stories; trust badges; partner links","Claim the Women Entrepreneurs Funding Guide (PDF)"
https://www.fsidigital.ca/canada/indigenous-entrepreneur-grants,2388,9,0.38%,24.51,A,"indigenous entrepreneur grants canada","Indigenous Entrepreneur Grants in Canada — Programs & Support","Programs and grants for Indigenous entrepreneurs in Canada, plus application resources and local supports.","Add who qualifies section; regional resources and partners; success examples","Download Indigenous Funding Guide"
https://www.fsidigital.ca/grants/bc/vancouver/women-entrepreneurs,2010,14,0.7%,18.52,A,"vancouver women entrepreneurs grants","Vancouver & BC Grants for Women Entrepreneurs — Apply Today","Listings of BC & Vancouver grant programs for women entrepreneurs with how-to application steps and deadlines.","Add local contact links; categorized H2s by grant/loan/support; deadlines","Get Vancouver women‑entrepreneur application checklist"
