Rank,URL,Target Keyword,Impressions,Clicks,Current CTR,Position,Intent Category,Commercial Intent %,RTE Score,Current Monthly EV ($),Projected Monthly EV ($),Incremental Gain ($),Offer Tier,Price ($)
1,https://www.fsidigital.ca/blog/nsf-sbir-grants-technology-startups,"nsf sbir grants technology startups",5018,2,0.04%,9.5,PROGRAMS,84%,69,$1.76,$91.62,$89.86,TIER_ACTION_PLAN_49,$49
2,https://www.fsidigital.ca/blog/nih-sbir-biotech-grants,"nih sbir biotech grants",6238,3,0.05%,8.8,PROGRAMS,60%,66,$2.65,$139.20,$136.55,TIER_ACTION_PLAN_49,$49
3,https://www.fsidigital.ca/blog/quebec-small-business-grants-guide,"quebec small business grants",1947,1,0.05%,11.3,PROGRAMS,84%,67,$0.88,$27.65,$26.77,TIER_ACTION_PLAN_49,$49
4,https://www.fsidigital.ca/blog/dod-sbir-defense-tech-grants,"dod sbir defense tech grants",1372,12,0.87%,10.2,PROGRAMS,84%,67,$10.58,$25.05,$14.47,TIER_ACTION_PLAN_49,$49
5,https://www.fsidigital.ca/usa/technology-startup-grants,"technology startup grants",2694,4,0.15%,15.7,PROGRAMS,60%,63,$3.53,$16.40,$12.87,TIER_ACTION_PLAN_49,$49
6,https://www.fsidigital.ca/usa/minnesota,"minnesota",2406,2,0.08%,14.6,PROGRAMS,60%,65,$1.76,$19.52,$17.76,TIER_ACTION_PLAN_49,$49
7,https://www.fsidigital.ca/blog/colorado-tech-programs,"colorado tech",1258,1,0.08%,10.6,PROGRAMS,60%,65,$0.88,$17.86,$16.98,TIER_ACTION_PLAN_49,$49
8,https://www.fsidigital.ca/blog/usda-sbir-agtech-grants,"usda sbir agtech grants",1153,6,0.52%,7.7,PROGRAMS,60%,66,$5.29,$32.75,$27.46,TIER_ACTION_PLAN_49,$49
9,https://www.fsidigital.ca/blog/healthcare-grants-2026,"healthcare grants",1106,11,0.99%,10.0,PROGRAMS,60%,65,$9.70,$21.34,$11.64,TIER_ACTION_PLAN_49,$49
10,https://www.fsidigital.ca/usa/missouri,"missouri",1884,2,0.11%,17.6,PROGRAMS,60%,63,$1.76,$11.47,$9.71,TIER_ACTION_PLAN_49,$49
11,https://www.fsidigital.ca/blog/women-entrepreneurship-strategy-canada,"women entrepreneurship strategy",1006,4,0.4%,9.1,PROGRAMS,60%,66,$3.53,$22.45,$18.92,TIER_ACTION_PLAN_49,$49
12,https://www.fsidigital.ca/programs/mb-clean-energy,"mb clean energy",843,0,0%,10.5,PROGRAMS,60%,65,$0.00,$15.39,$15.39,TIER_ACTION_PLAN_49,$49
13,https://www.fsidigital.ca/download/amber-grant-women-application-guide,"amber grant women application",368,1,0.27%,13.8,APPLICATION,92%,67,$1.59,$6.06,$4.47,TIER_STRATEGY_199,$199
14,https://www.fsidigital.ca/guides/nserc-research-grants-guide,"nserc research grants",630,1,0.16%,12.2,PROGRAMS,84%,67,$0.88,$7.67,$6.79,TIER_ACTION_PLAN_49,$49
15,https://www.fsidigital.ca/grants/il/chicago/women-entrepreneurs,"women entrepreneurs",699,4,0.57%,9.9,PROGRAMS,60%,66,$3.53,$12.76,$9.23,TIER_ACTION_PLAN_49,$49
16,https://www.fsidigital.ca/grants/va/norfolk-virginia-beach/arts-entertainment,"arts entertainment",609,0,0%,9.3,PROGRAMS,60%,66,$0.00,$13.59,$13.59,TIER_ACTION_PLAN_49,$49
17,https://www.fsidigital.ca/usa/minnesota/minneapolis,"minneapolis",1272,4,0.31%,19.9,PROGRAMS,60%,63,$3.53,$7.76,$4.23,TIER_ACTION_PLAN_49,$49
18,https://www.fsidigital.ca/grants/ny/new-york-city/education,"education",443,2,0.45%,11.0,PROGRAMS,60%,65,$1.76,$6.29,$4.53,TIER_ACTION_PLAN_49,$49
19,https://www.fsidigital.ca/grants/bc/vancouver/technology,"technology",1195,3,0.25%,17.8,PROGRAMS,60%,63,$2.65,$7.27,$4.62,TIER_ACTION_PLAN_49,$49
20,https://www.fsidigital.ca/usa/washington,"washington",1175,4,0.34%,18.4,PROGRAMS,60%,63,$3.53,$7.76,$4.23,TIER_ACTION_PLAN_49,$49
21,https://www.fsidigital.ca/grants/pa/philadelphia/women-entrepreneurs,"women entrepreneurs",345,1,0.29%,8.8,PROGRAMS,60%,66,$0.88,$7.70,$6.82,TIER_ACTION_PLAN_49,$49
22,https://www.fsidigital.ca/guides/irap-innovation-application-guide,"irap innovation application",362,0,0%,23.1,APPLICATION,92%,66,$0.00,$1.99,$1.99,TIER_STRATEGY_199,$199
23,https://www.fsidigital.ca/grants/ma/boston/women-entrepreneurs,"women entrepreneurs",303,2,0.66%,9.3,PROGRAMS,60%,66,$1.76,$6.76,$5.00,TIER_ACTION_PLAN_49,$49
24,https://www.fsidigital.ca/blog/nasa-sbir-space-tech-grants,"nasa sbir space tech grants",316,1,0.32%,11.9,PROGRAMS,60%,65,$0.88,$3.85,$2.97,TIER_ACTION_PLAN_49,$49
25,https://www.fsidigital.ca/blog/new-york-business-grants-2026,"new york business grants",297,1,0.34%,8.3,PROGRAMS,60%,66,$0.88,$8.43,$7.55,TIER_ACTION_PLAN_49,$49
26,https://www.fsidigital.ca/blog/doe-sbir-clean-energy-grants,"doe sbir clean energy grants",250,0,0%,7.7,PROGRAMS,60%,66,$0.00,$7.10,$7.10,TIER_ACTION_PLAN_49,$49
27,https://www.fsidigital.ca/grants/on/toronto/restaurants-hospitality,"restaurants hospitality",1587,34,2.14%,9.1,PROGRAMS,60%,66,$29.99,$65.97,$35.98,TIER_ACTION_PLAN_49,$49
28,https://www.fsidigital.ca/blog/veteran-business-funding-canada-2026,"veteran business funding",1412,33,2.34%,13.8,PROGRAMS,84%,67,$29.11,$64.03,$34.92,TIER_ACTION_PLAN_49,$49
